Tag,Count
hip-hop,5770
rap,5626
pop,5326
rock,2974
alternative,1938
indie,1908
trap,1783
dance,1627
soul,1507
electronic,1489
rhythm and blues,1397
alternative rock,1127
indie pop,1116
metal,971
80s,954
folk,817
country,692
jazz,662
hard rock,648
christian,627
indie rock,600
french,597
90s,584
british,570
heavy metal,570
thrash metal,539
emo rap,520
french rap,511
funk,505
dirty south,487
southern rap,477
70s,477
classic rock,473
gospel,450
swedish,434
grunge,409
underground hip-hop,398
punk,394
cloud rap,394
pop rock,386
drill,384
punk rock,382
pop rap,355
canadian,347
rap francais,336
death metal,313
industrial,309
emo,302
synth pop,297
nu metal,289
ambient,283
acoustic,282
latin,277
experimental,272
uk,271
greek,261
britpop,259
lo-fi,259
spanish,246
metalcore,244
rage,244
remix,243
grindcore,238
ska,224
russian,221
hardcore,220
japanese,211
electropop,208
usa,204
romanian hip-hop,194
romanian,194
new wave,192
italian,189
east coast rap,189
vocal jazz,186
grime,186
blues,182
groove metal,181
electronica,178
post-hardcore,177
hyphy,167
dream pop,166
west coast rap,165
gothic metal,160
60s,152
christian rock,152
deutschrap,143
industrial rock,138
american,137
german,134
pop punk,130
k-pop,130
progressive rock,125
j-pop,125
indie folk,125
country pop,123
azerbaijan,122
neo-soul,122
love,120
ballad,117
post-punk,115
chill,113
danish,112
melancholic,106
french hip hop,104
house,102
vocal,100
gangsta rap,99
alternative rap,99
psychedelic,96
oldies,95
mexico,94
france,94
dubstep,93
2010s,93
serbian,90
soundtrack,88
korean,83
art pop,83
electroclash,81
idm,80
americana,80
00s,79
christmas,77
philippines,76
comedy,75
spanish hip-hop,74
folk punk,70
2020,70
bro-country,69
contemporary country,69
alternative metal,69
bossa nova,69
power metal,68
sad,67
shoegaze,66
polish,65
french hip-hop,65
progressive metal,64
folk rock,63
norwegian,63
breakcore,63
banda,62
jam,62
linkin park,62
pop espanol,62
shibuya-kei,60
geek music,60
jam band,60
digital hardcore,60
indonesian,60
progressive,59
post-rock,59
nigeria,58
turkish,56
swing,55
dominican,55
new zealand,54
cold wave,54
christian ska,53
old school death metal,53
post-metal,53
disco,53
chillwave,51
modern country,51
drum and bass,50
soft rock,50
opm,50
dance pop,49
10s,48
retro,48
riot grrrl,47
boyband,47
teen pop,47
sexy,47
glo-fi,46
chillout,46
arabic,46
noise,46
epic,45
reggae,44
lebanese,44
funny,43
2020s,43
retro pop,42
skate punk,41
hiphop,41
mellow,41
powerpop,41
australian,40
psychedelic rock,40
worship,40
yandex music,40
sludge,39
uk hip-hop,39
piano,39
trance,39
london,39
hyperpop,38
psychill,38
deathcore,37
swedish hip hop,37
madagascar,36
underground rap,36
auto-tune,36
rhythmic noise,35
folk metal,35
spanish pop,35
martial industrial,35
eurodance,35
bedroom pop,35
african,34
ls,34
electro pop,33
hip hop mexicano,33
art rock,33
rap malandro,33
screamo,33
crossover,32
jersey club,32
reggaeton,32
ivory coast,32
british artist,32
techno,32
power pop,32
black metal,32
rusia,31
irapuato,31
nogales,31
sinaloa,31
sonora,31
blues rock,31
easy listening,31
filipino,31
soukous,31
ska revival,30
english lyrics,30
cottagecore,30
goblincore,30
hardcore rap,30
brutal death metal,30
speed metal,29
surf,29
classic country,29
queer,29
sadcore,29
machete,29
nepal,29
religious,29
progressive metalcore,29
bongo flava,28
tanzania,28
edm,28
serbia,28
minimal,28
minimal techno,28
africain-francais,27
party,27
electro,27
glam rock,26
urban,26
indo,26
irish,25
avant-folk,25
pinoy pop,24
underground hip hop,24
puerto rico,24
trap latino,24
deathgrind,23
east coast hip hop,23
british hip hop,23
black gospel,22
emo trap,22
baroque pop,22
krushclub,22
pinoy,21
lebanon,21
nigerian,21
indonesia,21
ebm,20
english hip hop,20
alternative pop,19
hardcore punk,19
doom metal,19
psychedelic pop,19
alternative rnb,18
brutal deathcore,17
idian-indie,17
downtempo,17
vocal trance,17
folk pop,17
trip hop,17
gothic,16
industrial metal,16
electronic rock,15
post-grunge,15
alternative hip-hop,15
rock n roll,14
conscious hip hop,14
polski hip hop,14
french pop,14
neo-psychedelia,14
eclectonia,14
abstract hip-hop,14
emocore,14
pop soul,13
jazz rap,12
christmas songs,12
schlager,11
alt-pop,11
jazz fusion,10
dark pop,10
venezuela,10
contemporary rnb,10
ambient pop,10
alt rock,10
brasil,10
colombia,10
experimental hip hop,10
drill rap,10
djent,10
gothic rock,10
electro house,10
melodic hardcore,9
hardcore hip hop,9
traditional pop,8
jamaica,8
hip hoprap,8
piano rock,8
balkan,8
thai,8
post-nerdcore,8
rap rock,8
rock - melodic,8
canada,8
noise pop,8
chillhop,7
indie hip-hop,7
glitchcore,7
british rock,7
latin pop,7
east coast club,6
metal punk,6
progressive death indie,6
indietronic,6
ska punk,6
american metal,6
jazz vocal,6
alternative hip hop,6
india,6
jazz pop,6
europop,6
comedy rap,5
progressive sludge metal,5
southern hip hop,5
country rock,5
bop,5
dark ambient,5
postrapp,5
memphis rap,4
west coast hip hop,4
alt-country,4
jazz standard,4
progressive house,4
breakbeat,4
sophisti-pop,4
smooth jazz,4
pop dance,4
bollywood,4
melodic death metal,4
slowcore,4
skit,4
twee pop,4
chiptune,4
country rap,4
rumba,4
psychedelic folk,4
bay area rap,4
pakistan,4
darkwave,4
progressive trance,4
miami bass,3
acoustic rock,3
midwest emo,3
math rock,3
tech house,3
post-teen pop,3
roots rock,3
soul funk,3
noise rock,3
j-rock,3
glitch pop,2
twerk,2
piano pop,2
acoustic pop,2
post-black metal,2
hip pop,2
uplifting trance,2
hardcore hip-hop,2
trap metal,2
dark folk,2
mumble rap,2
alternative trap,2
indian rock,2
russian pop,2
african danchall,2
classic metal,2
emo-pop,2
nu french rap,2
chinese,2
nu disco,2
supertones,2
new york hip hop,2
smooth hip-hop,2
freestyle,2
synthwave,2
minimal pop,2
synthrock,2
deep house,2
lofi,2
bitpop,2
bebop,2
persian,2
alternative dance,2
uk bass,2
rap metal,2
garage rock,1
uk trap,1
electro-industrial,1
trap rap,1
gabber,1
